CAPITOL22_R224_C2,Capitol 2. Rind 2.2.4   col 2,dec/DataSet/Data/CAPITOL22_R224_C2
CAPITOL22_R224_C3,Capitol 2. Rind 2.2.4   col 3,dec/DataSet/Data/CAPITOL22_R224_C3
CAPITOL22_R224_C4,Capitol 2. Rind 2.2.4   col 4,dec/DataSet/Data/CAPITOL22_R224_C4
CAPITOL3_R311_C1,Capitol 3. Rind 3.1.1   col 1,dec/DataSet/Data/CAPITOL3_R311_C1
CAPITOL3_R311_C2,Capitol 3. Rind 3.1.1   col 2,dec/DataSet/Data/CAPITOL3_R311_C2
CAPITOL3_R311_C3,Capitol 3. Rind 3.1.1   col 3,dec/DataSet/Data/CAPITOL3_R311_C3
CAPITOL3_R312_C1,Capitol 3. Rind 3.1.2   col 1,dec/DataSet/Data/CAPITOL3_R312_C1
CAPITOL3_R312_C2,Capitol 3. Rind 3.1.2   col 2,dec/DataSet/Data/CAPITOL3_R312_C2
CAPITOL3_R312_C3,Capitol 3. Rind 3.1.2   col 3,dec/DataSet/Data/CAPITOL3_R312_C3
CAPITOL3_R313_C1,Capitol 3. Rind 3.1.3   col 1,dec/DataSet/Data/CAPITOL3_R313_C1
CAPITOL3_R313_C2,Capitol 3. Rind 3.1.3   col 2,dec/DataSet/Data/CAPITOL3_R313_C2
CAPITOL3_R313_C3,Capitol 3. Rind 3.1.3   col 3,dec/DataSet/Data/CAPITOL3_R313_C3
CAPITOL3_R314_C1,Capitol 3. Rind 3.1.4   col 1,dec/DataSet/Data/CAPITOL3_R314_C1
CAPITOL3_R314_C2,Capitol 3. Rind 3.1.4   col 2,dec/DataSet/Data/CAPITOL3_R314_C2
CAPITOL3_R314_C3,Capitol 3. Rind 3.1.4   col 3,dec/DataSet/Data/CAPITOL3_R314_C3
CAPITOL3_R315_C1,Capitol 3. Rind 3.1.5   col 1,dec/DataSet/Data/CAPITOL3_R315_C1
CAPITOL3_R315_C2,Capitol 3. Rind 3.1.5   col 2,dec/DataSet/Data/CAPITOL3_R315_C2
CAPITOL3_R315_C3,Capitol 3. Rind 3.1.5   col 3,dec/DataSet/Data/CAPITOL3_R315_C3
CAPITOL3_R316_C1,Capitol 3. Rind 3.1.6   col 1,dec/DataSet/Data/CAPITOL3_R316_C1
CAPITOL3_R316_C2,Capitol 3. Rind 3.1.6   col 2,dec/DataSet/Data/CAPITOL3_R316_C2
CAPITOL3_R316_C3,Capitol 3. Rind 3.1.6   col 3,dec/DataSet/Data/CAPITOL3_R316_C3
CAPITOL3_R317_C1,Capitol 3. Rind 3.1.7   col 1,dec/DataSet/Data/CAPITOL3_R317_C1
CAPITOL3_R317_C2,Capitol 3. Rind 3.1.7   col 2,dec/DataSet/Data/CAPITOL3_R317_C2
CAPITOL3_R317_C3,Capitol 3. Rind 3.1.7   col 3,dec/DataSet/Data/CAPITOL3_R317_C3
CAPITOL3_R318_C1,Capitol 3. Rind 3.1.8   col 1,dec/DataSet/Data/CAPITOL3_R318_C1
CAPITOL3_R318_C2,Capitol 3. Rind 3.1.8   col 2,dec/DataSet/Data/CAPITOL3_R318_C2
CAPITOL3_R318_C3,Capitol 3. Rind 3.1.8   col 3,dec/DataSet/Data/CAPITOL3_R318_C3
CAPITOL3_R319_C1,Capitol 3. Rind 3.1.9   col 1,dec/DataSet/Data/CAPITOL3_R319_C1
CAPITOL3_R319_C2,Capitol 3. Rind 3.1.9   col 2,dec/DataSet/Data/CAPITOL3_R319_C2
CAPITOL3_R319_C3,Capitol 3. Rind 3.1.9   col 3,dec/DataSet/Data/CAPITOL3_R319_C3
CAPITOL3_R3110_C1,Capitol 3. Rind 3.1.10   col 1,dec/DataSet/Data/CAPITOL3_R3110_C1
CAPITOL3_R3110_C2,Capitol 3. Rind 3.1.10   col 2,dec/DataSet/Data/CAPITOL3_R3110_C2
CAPITOL3_R3110_C3,Capitol 3. Rind 3.1.10   col 3,dec/DataSet/Data/CAPITOL3_R3110_C3
CAPITOL3_R3111_C1,Capitol 3. Rind 3.1.11   col 1,dec/DataSet/Data/CAPITOL3_R3111_C1
CAPITOL3_R3111_C2,Capitol 3. Rind 3.1.11   col 2,dec/DataSet/Data/CAPITOL3_R3111_C2
CAPITOL3_R3111_C3,Capitol 3. Rind 3.1.11   col 3,dec/DataSet/Data/CAPITOL3_R3111_C3
CAPITOL3_R3112_C1,Capitol 3. Rind 3.1.12   col 1,dec/DataSet/Data/CAPITOL3_R3112_C1
CAPITOL3_R3112_C2,Capitol 3. Rind 3.1.12   col 2,dec/DataSet/Data/CAPITOL3_R3112_C2
CAPITOL3_R3112_C3,Capitol 3. Rind 3.1.12   col 3,dec/DataSet/Data/CAPITOL3_R3112_C3
CAPITOL4_R41_C1,Capitol 4. Rind 4.1   col 1,dec/DataSet/Data/CAPITOL4_R41_C1
CAPITOL4_R42_C1,Capitol 4. Rind 4.2   col 2,dec/DataSet/Data/CAPITOL4_R41_C2
